dialogue_id,turn_id,id,question,gold_answer,model_answer,is_repeat,base_qid,f1_fact,factually_correct,f1_self_consistency,self_consistent,H_MC,baseline_correct,baseline_f1,baseline_emb_sim,baseline_nli_label
train_8f7c1f2e_d1,4,train_8f7c1f2e_d1_t4,What other causes are there for inflammatory diarrhea?,"tuberculosis, colon cancer, and enteritis.","viral infections, parasites, food allergies, medications, stress, and irritable bowel syndrome.",0,train_8f7c1f2e_d1_q4,0.12500000000000003,0,,,0.209534070351501,,,,
train_93a60221_d1,2,train_93a60221_d1_t2,(Reask) Who was appointed satrap of Egypt after Alexander's death?,Ptolemy,Ptolemy I Soter,1,train_93a60221_d1_q1,0.5,0,,,1.3592242147812037,,,,
train_9414674f_d1,3,train_9414674f_d1_t3,What did people resort to when they needed to communicate with the government?,people had to hire scribes,Writing letters,0,train_9414674f_d1_q3,0.0,0,,,0.830383152876055,,,,
train_96c17efd_d1,1,train_96c17efd_d1_t1,Constantinople was overcome by who in 1453?,the Ottomans,Ottoman Empire,0,train_96c17efd_d1_q1,0.0,0,,,2.2247184746440283,,,,
train_987d4770_d1,2,train_987d4770_d1_t2,In what year did Everton's second successful era begin?,1961,1966,0,train_987d4770_d1_q2,0.0,0,,,-0.0,,,,
train_a162aaf0_d1,2,train_a162aaf0_d1_t2,what was the name of Blake Baxter's 1986 hit recording?,"""When we Used to Play / Work your Body""","""I Wanna Dance With Somebody""",0,train_a162aaf0_d1_q2,0.0,0,,,-0.0,,,,
train_aabd57af_d1,2,train_aabd57af_d1_t2,What is the main north-south freeway called?,Delaware Expressway,Interstate 5,0,train_aabd57af_d1_q2,0.0,0,,,1.5875067948704604,,,,
train_ab623e8e_d1,2,train_ab623e8e_d1_t2,What is Oklahoma's nickname?,The Sooner State,Sooner State,0,train_ab623e8e_d1_q2,1.0,1,,,2.20997728175089,,,,
train_b1cc00de_d2,4,train_b1cc00de_d2_t4,Why does Congress give generalized powers to federal agencies?,too gridlocked to draft detailed statutes that explain how the agency should react to every possible situation,to enable them to carry out their functions effectively,0,train_b1cc00de_d2_q4,0.08,0,,,0.9562078829749431,,,,
train_b7f0292a_d1,3,train_b7f0292a_d1_t3,What caused the start of the Korean War?,North Korea invaded South Korea,North Korea's invasion of South Korea,0,train_b7f0292a_d1_q3,0.5454545454545454,0,,,1.485748580119059,,,,
train_bd456bcf_d1,2,train_bd456bcf_d1_t2,What was the name of the fisherman in lore that saw a vision of Saint Peter near the Abbey?,Aldrich,Simon Peter,0,train_bd456bcf_d1_q2,0.0,0,,,-0.0,,,,
train_be0bc894_d1,1,train_be0bc894_d1_t1,"The single, ""Listen"" was featured in which movie?",Dreamgirls,The Devil Wears Prada,0,train_be0bc894_d1_q1,0.0,0,,,-0.0,,,,
train_cf239ac4_d1,1,train_cf239ac4_d1_t1,"Based on genetic testing, what has been suggested about the origin of the potato?",single,South America,0,train_cf239ac4_d1_q1,0.0,0,,,0.5028257339473713,,,,
train_d4fa2ca7_d1,1,train_d4fa2ca7_d1_t1,When is the typical lenght  for bacteria?,few micrometres,1-5 micrometers,0,train_d4fa2ca7_d1_q1,0.0,0,,,0.7564220239778424,,,,
train_d8e4d930_d1,1,train_d8e4d930_d1_t1,Some cultures attempt to regulate what emotion in boys?,fear,Anger,0,train_d8e4d930_d1_q1,0.0,0,,,1.7583266436965361,,,,
train_da390d97_d1,2,train_da390d97_d1_t2,When did enantiornithes become extinct?,end of the Mesozoic era,66 million years ago,0,train_da390d97_d1_q2,0.0,0,,,-0.0,,,,
train_e1cd3531_d1,4,train_e1cd3531_d1_t4,(Reask) What does HIma mean in Sanskirt?,snow,snow,1,train_e1cd3531_d1_q2,1.0,1,,,1.35808129031065,,,,
train_e35cecc8_d1,2,train_e35cecc8_d1_t2,What metric indicates a lights ability to make object appear natural?,CRI,Lux,0,train_e35cecc8_d1_q2,0.0,0,,,1.3594115821261492,,,,
train_edd8465e_d1,4,train_edd8465e_d1_t4,(Reask) What group of schools did Columbia University belong to?,Ivy League,Ivy League,1,train_edd8465e_d1_q3,1.0,1,,,2.2319289786406187,,,,
train_f6cc8f58_d1,4,train_f6cc8f58_d1_t4,What is Italian Unification?,social movement that annexed different states of the Italian peninsula into the single state of Italy,Italian Unification refers to the process by which the various Italian states were united into a single nation-state in 1870.,0,train_f6cc8f58_d1_q4,0.2580645161290323,0,,,0.18485327969053902,,,,
train_f9d50093_d1,5,train_f9d50093_d1_t5,(Reask) What are some other major wrestling companies?,"Total Nonstop Action Wrestling (TNA) and Ring of Honor (ROH), Consejo Mundial de Lucha Libre (CMLL) and Asistencia Asesoría y Administración (AAA)","WWE, AEW, Impact Wrestling, ROH, NXT, NJPW, MLW, ECW, AAA, CMLL.",1,train_f9d50093_d1_q4,0.24242424242424246,0,,,0.6072760173990499,,,,
validation_7014466d_d1,4,validation_7014466d_d1_t4,What is KMJ now referred to?,NBC affiliate KSEE,KMJ2,0,validation_7014466d_d1_q4,0.0,0,,,0.8624883034548958,,,,
validation_84fddccf_d1,1,validation_84fddccf_d1_t1,Why are people who distribute leaflets inside courthouses not been arrested?,the leaflets will have to be given to the leafleter's own jury as evidence,They are not breaking any laws.,0,validation_84fddccf_d1_q1,0.0,0,,,1.6153220691299581,,,,
validation_c3d6634f_d1,5,validation_c3d6634f_d1_t5,What might cause a higher student interest in learning the presented subject?,Teacher enthusiasm,Relevance and practicality of the subject to their future career or personal life.,0,validation_c3d6634f_d1_q4,0.0,0,,,0.009144743673807652,,,,
validation_ce7350dd_d1,3,validation_ce7350dd_d1_t3,What did Luther explain about acquiring God's grace?,cannot be earned,Justification by faith alone.,0,validation_ce7350dd_d1_q3,0.0,0,,,1.3524771493733576,,,,
